case,rho_min,rho_max,rho_mean,rho_std,min_avg_pep_mean,min_avg_pep_median,share_rho_le_0_005,share_rho_le_0_010,share_rho_le_0_020,share_rho_le_0_050,share_rho_le_0_100,share_rho_le_0_200,rho_p10,rho_p25,rho_p40,rho_p50,rho_p60,rho_p75,rho_p90,gain_min,gain_max,gain_mean,gain_median,gain_p40,gain_p60
relay_alpha_2,0.006,0.47300000000000003,0.1623175,0.13160065612963334,0.13361374771828327,0.08599535667845731,0.0,0.0095,0.09,0.2795,0.4535,0.6455,0.022000000000000002,0.04475,0.081,0.123,0.17300000000000001,0.268,0.38,0.04668935135245392,10.943075083116472,1.0192920433932575,0.6347085275791249,0.4903915731996905,0.8364884997793057
relay_alpha_3,0.002,0.439,0.10451500000000001,0.10941751585098247,0.11692798267989991,0.06835258551742665,0.037,0.108,0.256,0.464,0.642,0.8115,0.009000000000000001,0.02,0.03860000000000002,0.060000000000000005,0.08600000000000001,0.156,0.299,0.05859083316854321,98.70343318429882,6.974978028082009,3.2748119206966626,2.255064201382335,4.747432049622389
lambda_1_no_relay_selection,0.010000000000000002,0.41300000000000003,0.142121,0.12071669461594779,0.1264529013200488,0.07760086452063633,0.0,0.0,0.124,0.3385,0.5035,0.696,0.018900000000000007,0.035750000000000004,0.067,0.099,0.14639999999999986,0.23425,0.3461000000000002,1.0,1.0,1.0,1.0,1.0,1.0
