SNR_dB,rho,Near_user_PEP,Far_user_PEP,Average_PEP,kappa,selected_relay,selected_relay_gain
5.00000,0.35754,0.30931,0.31350,0.31141,2.00000,2.00000,0.43179
5.00000,0.36206,0.30934,0.31351,0.31143,2.00000,2.00000,0.43179
5.00000,0.36658,0.30938,0.31354,0.31146,2.00000,2.00000,0.43179
5.00000,0.37111,0.30944,0.31359,0.31151,2.00000,2.00000,0.43179
5.00000,0.37563,0.30951,0.31365,0.31158,2.00000,2.00000,0.43179
5.00000,0.38015,0.30960,0.31372,0.31166,2.00000,2.00000,0.43179
5.00000,0.38467,0.30970,0.31381,0.31175,2.00000,2.00000,0.43179
5.00000,0.38920,0.30981,0.31391,0.31186,2.00000,2.00000,0.43179
5.00000,0.39372,0.30995,0.31403,0.31199,2.00000,2.00000,0.43179
5.00000,0.39824,0.31009,0.31417,0.31213,2.00000,2.00000,0.43179
5.00000,0.40276,0.31025,0.31431,0.31228,2.00000,2.00000,0.43179
5.00000,0.40729,0.31043,0.31447,0.31245,2.00000,2.00000,0.43179
5.00000,0.41181,0.31062,0.31465,0.31263,2.00000,2.00000,0.43179
5.00000,0.41633,0.31082,0.31484,0.31283,2.00000,2.00000,0.43179
5.00000,0.42085,0.31104,0.31504,0.31304,2.00000,2.00000,0.43179
5.00000,0.42538,0.31127,0.31526,0.31326,2.00000,2.00000,0.43179
5.00000,0.42990,0.31151,0.31549,0.31350,2.00000,2.00000,0.43179
5.00000,0.43442,0.31177,0.31573,0.31375,2.00000,2.00000,0.43179
5.00000,0.43894,0.31204,0.31598,0.31401,2.00000,2.00000,0.43179
5.00000,0.44347,0.31232,0.31625,0.31429,2.00000,2.00000,0.43179
5.00000,0.44799,0.31262,0.31653,0.31458,2.00000,2.00000,0.43179
5.00000,0.45251,0.31293,0.31683,0.31488,2.00000,2.00000,0.43179
5.00000,0.45704,0.31325,0.31714,0.31520,2.00000,2.00000,0.43179
5.00000,0.46156,0.31359,0.31746,0.31552,2.00000,2.00000,0.43179
5.00000,0.46608,0.31394,0.31779,0.31586,2.00000,2.00000,0.43179
5.00000,0.47060,0.31430,0.31813,0.31622,2.00000,2.00000,0.43179
5.00000,0.47513,0.31468,0.31849,0.31658,2.00000,2.00000,0.43179
5.00000,0.47965,0.31506,0.31886,0.31696,2.00000,2.00000,0.43179
5.00000,0.48417,0.31546,0.31925,0.31736,2.00000,2.00000,0.43179
